id;Tgl;Kab/Kota;Tingkat Harga;BMB;BMK;BPI;BPL;BNC;CMB;CMK;CRH;CRM;KBK;KTG;KLB;KLG;MTM;TMT;WRT;CHB
23;04 Januari 2021;Wonosobo;Harga Produsen;0;17000;0;13000;0;0;40000;35000;57000;0;9000;0;7000;0;4000;7000;
70;05 Januari 2021;Wonosobo;Harga Produsen;0;17000;0;13000;0;0;40000;35000;65000;0;9000;0;7000;0;4000;7000;0
108;06 Januari 2021;Wonosobo;Harga Produsen;0;17000;0;13000;0;0;40000;35000;65000;0;9000;0;7000;0;4000;7000;
135;07 Januari 2021;Wonosobo;Harga Produsen;0;17000;0;13000;0;0;40000;35000;65000;0;9000;0;7000;0;5000;7000;
253;08 Januari 2021;Wonosobo;Harga Produsen;0;17000;0;13000;0;0;40000;35000;65000;0;9000;0;7000;0;4000;7000;
259;11 Januari 2021;Wonosobo;Harga Produsen;0;17000;0;13000;0;0;40000;35000;65000;0;9000;0;7000;0;4000;7000;
287;12 Januari 2021;Wonosobo;Harga Produsen;0;17000;0;13000;0;0;35000;35000;56000;0;9000;0;8000;0;3000;7000;
326;13 Januari 2021;Wonosobo;Harga Produsen;0;17000;0;13000;0;0;35000;40000;60000;0;9000;0;8000;0;2500;7000;
425;15 Januari 2021;Wonosobo;Harga Produsen;0;17000;0;13000;0;0;35000;45000;60000;0;9000;0;6000;0;2500;7000;
427;14 Januari 2021;Wonosobo;Harga Produsen;0;17000;0;13000;0;0;35000;40000;60000;0;9000;0;8000;0;2500;7000;
505;18 Januari 2021;Wonosobo;Harga Produsen;0;17000;0;13000;0;0;35000;45000;55000;0;8000;0;6000;0;2500;7000;
544;19 Januari 2021;Wonosobo;Harga Produsen;0;17000;0;13000;0;0;35000;45000;55000;0;8000;0;6000;0;2500;7000;
610;20 Januari 2021;Wonosobo;Harga Produsen;0;17000;0;13000;0;0;35000;45000;50000;0;8000;0;6000;0;2500;7000;
633;21 Januari 2021;Wonosobo;Harga Produsen;0;17000;0;13000;0;0;30000;45000;50000;0;8000;0;5000;0;2500;7000;
