tanggal,harga
2021-01-01,40000.0
2021-01-02,40000.0
2021-01-03,40000.0
2021-01-04,40000.0
2021-01-05,40000.0
2021-01-06,40000.0
2021-01-07,40000.0
2021-01-08,40000.0
2021-01-09,35000.0
2021-01-10,35000.0
2021-01-11,40000.0
2021-01-12,35000.0
2021-01-13,35000.0
2021-01-14,35000.0
2021-01-15,35000.0
2021-01-16,35000.0
2021-01-17,35000.0
2021-01-18,35000.0
2021-01-19,35000.0
2021-01-20,35000.0
2021-01-21,30000.0
2021-01-22,30000.0
2021-01-23,35000.0
2021-01-24,35000.0
2021-01-25,35000.0
2021-01-26,35000.0
2021-01-27,25000.0
2021-01-28,30000.0
2021-01-29,30000.0
2021-01-30,35000.0
2021-01-31,35000.0
2021-02-01,40000.0
2021-02-02,40000.0
2021-02-03,50000.0
2021-02-04,50000.0
2021-02-05,50000.0
2021-02-06,45000.0
2021-02-07,45000.0
2021-02-08,50000.0
2021-02-09,45000.0
2021-02-10,45000.0
2021-02-11,45000.0
2021-02-12,45000.0
2021-02-13,45000.0
2021-02-14,45000.0
2021-02-15,45000.0
2021-02-16,45000.0
2021-02-17,50000.0
2021-02-18,50000.0
2021-02-19,50000.0
2021-02-20,45000.0
2021-02-21,45000.0
2021-02-22,45000.0
2021-02-23,45000.0
2021-02-24,45000.0
2021-02-25,45000.0
2021-02-26,45000.0
2021-02-27,45000.0
2021-02-28,45000.0
2021-03-01,45000.0
2021-03-02,45000.0
2021-03-03,40000.0
2021-03-04,40000.0
2021-03-05,40000.0
2021-03-06,45000.0
2021-03-07,45000.0
2021-03-08,45000.0
2021-03-09,45000.0
2021-03-10,45000.0
2021-03-11,45000.0
2021-03-12,45000.0
2021-03-13,45000.0
2021-03-14,45000.0
2021-03-15,45000.0
2021-03-16,45000.0
2021-03-17,50000.0
2021-03-18,50000.0
2021-03-19,50000.0
2021-03-20,45000.0
2021-03-21,45000.0
2021-03-22,50000.0
2021-03-23,50000.0
2021-03-24,50000.0
2021-03-25,50000.0
2021-03-26,50000.0
2021-03-27,45000.0
2021-03-28,45000.0
2021-03-29,45000.0
2021-03-30,45000.0
2021-03-31,40000.0
2021-04-01,40000.0
2021-04-02,40000.0
2021-04-03,40000.0
2021-04-04,40000.0
2021-04-05,35000.0
2021-04-06,40000.0
2021-04-07,40000.0
2021-04-08,35000.0
2021-04-09,35000.0
2021-04-10,35000.0
2021-04-11,35000.0
2021-04-12,40000.0
2021-04-13,40000.0
2021-04-14,32000.0
2021-04-15,32000.0
2021-04-16,32000.0
2021-04-17,32000.0
2021-04-18,32000.0
2021-04-19,32000.0
2021-04-20,32000.0
2021-04-21,32000.0
2021-04-22,32000.0
2021-04-23,32000.0
2021-04-24,32000.0
2021-04-25,28500.0
2021-04-26,17000.0
2021-04-27,17000.0
2021-04-28,17000.0
2021-04-29,17000.0
2021-04-30,17000.0
2021-05-01,22000.0
2021-05-02,22000.0
2021-05-03,17000.0
2021-05-04,17000.0
2021-05-05,17000.0
2021-05-06,25000.0
2021-05-07,25000.0
2021-05-08,17000.0
2021-05-09,17000.0
2021-05-10,22000.0
2021-05-11,22000.0
2021-05-12,17000.0
2021-05-13,17000.0
2021-05-14,17000.0
2021-05-15,17000.0
2021-05-16,17000.0
2021-05-17,20000.0
2021-05-18,20000.0
2021-05-19,15000.0
2021-05-20,14000.0
2021-05-21,14000.0
2021-05-22,14000.0
2021-05-23,14000.0
2021-05-24,14000.0
2021-05-25,14000.0
2021-05-26,14000.0
2021-05-27,14000.0
2021-05-28,14000.0
2021-05-29,14000.0
2021-05-30,14000.0
2021-05-31,14000.0
2021-06-01,13500.0
2021-06-02,13000.0
2021-06-03,13000.0
2021-06-04,13000.0
2021-06-05,10000.0
2021-06-06,10000.0
2021-06-07,10000.0
2021-06-08,10000.0
2021-06-09,10000.0
2021-06-10,10000.0
2021-06-11,10000.0
2021-06-12,10000.0
2021-06-13,10000.0
2021-06-14,10000.0
2021-06-15,9000.0
2021-06-16,9000.0
2021-06-17,9000.0
2021-06-18,9000.0
2021-06-19,10000.0
2021-06-20,10000.0
2021-06-21,9000.0
2021-06-22,9000.0
2021-06-23,10000.0
2021-06-24,10000.0
2021-06-25,10000.0
2021-06-26,10000.0
2021-06-27,12500.0
2021-06-28,15000.0
2021-06-29,15000.0
2021-06-30,15000.0
2021-07-01,15000.0
2021-07-02,15000.0
2021-07-03,15000.0
2021-07-04,15000.0
2021-07-05,15000.0
2021-07-06,15000.0
2021-07-07,15000.0
2021-07-08,15000.0
2021-07-09,15000.0
2021-07-10,15000.0
2021-07-11,15000.0
2021-07-12,15000.0
2021-07-13,15000.0
2021-07-14,15000.0
2021-07-15,15000.0
2021-07-16,15000.0
2021-07-17,15000.0
2021-07-18,15000.0
2021-07-19,16000.0
2021-07-20,15000.0
2021-07-21,16000.0
2021-07-22,16000.0
2021-07-23,16000.0
2021-07-24,15000.0
2021-07-25,15000.0
2021-07-26,16000.0
2021-07-27,16000.0
2021-07-28,14000.0
2021-07-29,14000.0
2021-07-30,14000.0
2021-07-31,14000.0
2021-08-01,13000.0
2021-08-02,12000.0
2021-08-03,12000.0
2021-08-04,12000.0
2021-08-05,12000.0
2021-08-06,12000.0
2021-08-07,12000.0
2021-08-08,12000.0
2021-08-09,12000.0
2021-08-10,12000.0
2021-08-11,12000.0
2021-08-12,12000.0
2021-08-13,12000.0
2021-08-14,12000.0
2021-08-15,12000.0
2021-08-16,12000.0
2021-08-17,12000.0
2021-08-18,12000.0
2021-08-19,10000.0
2021-08-20,10000.0
2021-08-21,8000.0
2021-08-22,8000.0
2021-08-23,8000.0
2021-08-24,8000.0
2021-08-25,8000.0
2021-08-26,8000.0
2021-08-27,8000.0
2021-08-28,8000.0
2021-08-29,8000.0
2021-08-30,7000.0
2021-08-31,7000.0
2021-09-01,7000.0
2021-09-02,7000.0
2021-09-03,7000.0
2021-09-04,8000.0
2021-09-05,8000.0
2021-09-06,7000.0
2021-09-07,7000.0
2021-09-08,7000.0
2021-09-09,9000.0
2021-09-10,9000.0
2021-09-11,9000.0
2021-09-12,9000.0
2021-09-13,9000.0
2021-09-14,9000.0
2021-09-15,9000.0
2021-09-16,9000.0
2021-09-17,9000.0
2021-09-18,9000.0
2021-09-19,9000.0
2021-09-20,9000.0
2021-09-21,9000.0
2021-09-22,9000.0
2021-09-23,10000.0
2021-09-24,10000.0
2021-09-25,10000.0
2021-09-26,11000.0
2021-09-27,12000.0
2021-09-28,12000.0
2021-09-29,12000.0
2021-09-30,12000.0
2021-10-01,12000.0
2021-10-02,12000.0
2021-10-03,15500.0
2021-10-04,19000.0
2021-10-05,19000.0
2021-10-06,24000.0
2021-10-07,24000.0
2021-10-08,24000.0
2021-10-09,24000.0
2021-10-10,24000.0
2021-10-11,24000.0
2021-10-12,24000.0
2021-10-13,24000.0
2021-10-14,24000.0
2021-10-15,24000.0
2021-10-16,24000.0
2021-10-17,24000.0
2021-10-18,24000.0
2021-10-19,24000.0
2021-10-20,24000.0
2021-10-21,24000.0
2021-10-22,24000.0
2021-10-23,25000.0
2021-10-24,26000.0
2021-10-25,26000.0
2021-10-26,26000.0
2021-10-27,26000.0
2021-10-28,26000.0
2021-10-29,26000.0
2021-10-30,27000.0
2021-10-31,28000.0
2021-11-01,28000.0
2021-11-02,28000.0
2021-11-03,28000.0
2021-11-04,32000.0
2021-11-05,32000.0
2021-11-06,32000.0
2021-11-07,32000.0
2021-11-08,32000.0
2021-11-09,32000.0
2021-11-10,32000.0
2021-11-11,32000.0
2021-11-12,32000.0
2021-11-13,32000.0
2021-11-14,32000.0
2021-11-15,32000.0
2021-11-16,32000.0
2021-11-17,32000.0
2021-11-18,32000.0
2021-11-19,32000.0
2021-11-20,32000.0
2021-11-21,31000.0
2021-11-22,30000.0
2021-11-23,30000.0
2021-11-24,30000.0
2021-11-25,30000.0
2021-11-26,30000.0
2021-11-27,32000.0
2021-11-28,31000.0
2021-11-29,30000.0
2021-11-30,30000.0
2021-12-01,30000.0
2021-12-02,30000.0
2021-12-03,30000.0
2021-12-04,32000.0
2021-12-05,31000.0
2021-12-06,32000.0
2021-12-07,32000.0
2021-12-08,32000.0
2021-12-09,32000.0
2021-12-10,32000.0
2021-12-11,32000.0
2021-12-12,32000.0
2021-12-13,32000.0
2021-12-14,35000.0
2021-12-15,35000.0
2021-12-16,35000.0
2021-12-17,35000.0
2021-12-18,35000.0
2021-12-19,35000.0
2021-12-20,35000.0
2021-12-21,35000.0
2021-12-22,35000.0
2021-12-23,35000.0
2021-12-24,35000.0
2021-12-25,35000.0
2021-12-26,35000.0
2021-12-27,35000.0
2021-12-28,35000.0
2021-12-29,35000.0
2021-12-30,35000.0
2021-12-31,35000.0
2022-01-01,35000.0
2022-01-02,31000.0
2022-01-03,27000.0
2022-01-04,27000.0
2022-01-05,25000.0
2022-01-06,20000.0
2022-01-07,20000.0
2022-01-08,20000.0
2022-01-09,19000.0
2022-01-10,15000.0
2022-01-11,15000.0
2022-01-12,15000.0
2022-01-13,15000.0
2022-01-14,15000.0
2022-01-15,20000.0
2022-01-16,19000.0
2022-01-17,18000.0
2022-01-18,18000.0
2022-01-19,18000.0
2022-01-20,18000.0
2022-01-21,18000.0
2022-01-22,19000.0
2022-01-23,18000.0
2022-01-24,20000.0
2022-01-25,20000.0
2022-01-26,20000.0
2022-01-27,20000.0
