tanggal,harga
2021-01-01,62500.0
2021-01-02,62500.0
2021-01-03,62500.0
2021-01-04,57000.0
2021-01-05,65000.0
2021-01-06,65000.0
2021-01-07,65000.0
2021-01-08,65000.0
2021-01-09,60000.0
2021-01-10,60000.0
2021-01-11,65000.0
2021-01-12,56000.0
2021-01-13,60000.0
2021-01-14,60000.0
2021-01-15,60000.0
2021-01-16,60000.0
2021-01-17,60000.0
2021-01-18,55000.0
2021-01-19,55000.0
2021-01-20,50000.0
2021-01-21,50000.0
2021-01-22,50000.0
2021-01-23,60000.0
2021-01-24,60000.0
2021-01-25,50000.0
2021-01-26,50000.0
2021-01-27,60000.0
2021-01-28,60000.0
2021-01-29,60000.0
2021-01-30,60000.0
2021-01-31,60000.0
2021-02-01,60000.0
2021-02-02,60000.0
2021-02-03,60000.0
2021-02-04,60000.0
2021-02-05,60000.0
2021-02-06,60000.0
2021-02-07,60000.0
2021-02-08,65000.0
2021-02-09,60000.0
2021-02-10,60000.0
2021-02-11,60000.0
2021-02-12,65000.0
2021-02-13,65500.0
2021-02-14,66000.0
2021-02-15,66000.0
2021-02-16,66000.0
2021-02-17,70000.0
2021-02-18,70000.0
2021-02-19,70000.0
2021-02-20,72500.0
2021-02-21,75000.0
2021-02-22,75000.0
2021-02-23,75000.0
2021-02-24,75000.0
2021-02-25,75000.0
2021-02-26,75000.0
2021-02-27,75000.0
2021-02-28,75000.0
2021-03-01,75000.0
2021-03-02,75000.0
2021-03-03,85000.0
2021-03-04,85000.0
2021-03-05,85000.0
2021-03-06,85000.0
2021-03-07,85000.0
2021-03-08,85000.0
2021-03-09,85000.0
2021-03-10,85000.0
2021-03-11,85000.0
2021-03-12,85000.0
2021-03-13,85000.0
2021-03-14,85000.0
2021-03-15,95000.0
2021-03-16,95000.0
2021-03-17,110000.0
2021-03-18,110000.0
2021-03-19,110000.0
2021-03-20,85000.0
2021-03-21,85000.0
2021-03-22,110000.0
2021-03-23,110000.0
2021-03-24,95000.0
2021-03-25,73000.0
2021-03-26,73000.0
2021-03-27,73000.0
2021-03-28,73000.0
2021-03-29,65000.0
2021-03-30,65000.0
2021-03-31,50000.0
2021-04-01,45000.0
2021-04-02,50000.0
2021-04-03,50000.0
2021-04-04,50000.0
2021-04-05,40000.0
2021-04-06,45000.0
2021-04-07,50000.0
2021-04-08,50000.0
2021-04-09,50000.0
2021-04-10,45000.0
2021-04-11,45000.0
2021-04-12,50000.0
2021-04-13,45000.0
2021-04-14,42000.0
2021-04-15,52000.0
2021-04-16,42000.0
2021-04-17,42000.0
2021-04-18,42000.0
2021-04-19,42000.0
2021-04-20,42000.0
2021-04-21,32000.0
2021-04-22,32000.0
2021-04-23,32000.0
2021-04-24,35000.0
2021-04-25,33500.0
2021-04-26,24000.0
2021-04-27,24000.0
2021-04-28,24000.0
2021-04-29,24000.0
2021-04-30,24000.0
2021-05-01,32000.0
2021-05-02,32000.0
2021-05-03,30000.0
2021-05-04,35000.0
2021-05-05,30000.0
2021-05-06,40000.0
2021-05-07,40000.0
2021-05-08,31000.0
2021-05-09,30000.0
